"root_region_name","node_region_name","root_kladr","node_kladr"
Ненецкий автономный округ,Архангельская область,"83","29"
Ненецкий автономный округ,Республика Коми,"83","11"
Ханты-Мансийский автономный округ - Югра,Республика Коми,"86","11"
Ямало-Ненецкий автономный округ,Республика Коми,"89","11"
Ямало-Ненецкий автономный округ,Ненецкий автономный округ,"89","83"
Ханты-Мансийский автономный округ - Югра,Свердловская область,"86","66"
Ненецкий автономный округ,Тюменская область,"83","72"
Ханты-Мансийский автономный округ - Югра,Тюменская область,"86","72"
Ханты-Мансийский автономный округ - Югра,Томская область,"86","70"
Ямало-Ненецкий автономный округ,Ханты-Мансийский автономный округ - Югра,"89","86"
Ненецкий автономный округ,Ямало-Ненецкий автономный округ,"83","89"
Ханты-Мансийский автономный округ - Югра,Ямало-Ненецкий автономный округ,"86","89"
Ханты-Мансийский автономный округ - Югра,Красноярский край,"86","24"
Ямало-Ненецкий автономный округ,Красноярский край,"89","24"
Чукотский автономный округ,Республика Саха (Якутия),"87","14"
Чукотский автономный округ,Камчатский край,"87","41"
Еврейская автономная область,Амурская область,"79","28"
Еврейская автономная область,Хабаровский край,"79","27"
Пермский край,Республика Коми,"59","11"
Красноярский край,Республика Тыва,"24","17"
Пермский край,Кировская область,"59","43"
Пермский край,Удмуртская Республика,"59","18"
Пермский край,Свердловская область,"59","66"
Пермский край,Республика Башкортостан,"59","02"
Краснодарский край,Ростовская область,"23","61"
Краснодарский край,Республика Адыгея (Адыгея),"23","01"
Краснодарский край,Ставропольский край,"23","26"
Краснодарский край,Карачаево-Черкесская Республика,"23","09"
Ставропольский край,Ростовская область,"26","61"
Ставропольский край,Краснодарский край,"26","23"
Ставропольский край,Республика Калмыкия,"26","08"
Ставропольский край,Республика Дагестан,"26","05"
Ставропольский край,Чеченская Республика,"26","20"
Ставропольский край,Республика Северная Осетия - Алания,"26","15"
Ставропольский край,Кабардино-Балкарская Республика,"26","07"
Ставропольский край,Карачаево-Черкесская Республика,"26","09"
Хабаровский край,Приморский край,"27","25"
Алтайский край,Новосибирская область,"22","54"
Алтайский край,Республика Алтай,"22","04"
Алтайский край,Кемеровская область - Кузбасс,"22","42"
Красноярский край,Тюменская область,"24","72"
Красноярский край,Томская область,"24","70"
Красноярский край,Кемеровская область - Кузбасс,"24","42"
Красноярский край,Ханты-Мансийский автономный округ - Югра,"24","86"
Красноярский край,Ямало-Ненецкий автономный округ,"24","89"
Красноярский край,Республика Хакасия,"24","19"
Красноярский край,Иркутская область,"24","38"
Красноярский край,Республика Саха (Якутия),"24","14"
Забайкальский край,Иркутская область,"75","38"
Забайкальский край,Республика Саха (Якутия),"75","14"
Забайкальский край,Республика Бурятия,"75","03"
Забайкальский край,Амурская область,"75","28"
Хабаровский край,Республика Саха (Якутия),"27","14"
Хабаровский край,Амурская область,"27","28"
Хабаровский край,Еврейская автономная область,"27","79"
Краснодарский край,Республика Крым,"23","91"
Приморский край,Хабаровский край,"25","27"
Хабаровский край,Сахалинская область,"27","65"
Хабаровский край,Магаданская область,"27","49"
Камчатский край,Сахалинская область,"41","65"
Камчатский край,Магаданская область,"41","49"
Камчатский край,Чукотский автономный округ,"41","87"
г. Москва,Московская область,"77","50"
г. Санкт-Петербург,Ленинградская область,"78","47"
г. Москва,Калужская область,"77","40"
Республика Башкортостан,Челябинская область,"02","74"
Республика Карелия,Мурманская область,"10","51"
Республика Карелия,Архангельская область,"10","29"
Республика Карелия,Вологодская область,"10","35"
Республика Карелия,Ленинградская область,"10","47"
Республика Коми,Архангельская область,"11","29"
Республика Коми,Ненецкий автономный округ,"11","83"
Республика Татарстан (Татарстан),Самарская область,"16","63"
Республика Алтай,Республика Тыва,"04","17"
Республика Хакасия,Республика Тыва,"19","17"
Республика Бурятия,Республика Тыва,"03","17"
Республика Мордовия,Нижегородская область,"13","52"
Республика Мордовия,Рязанская область,"13","62"
Республика Марий Эл,Нижегородская область,"12","52"
Чувашская Республика - Чувашия,Нижегородская область,"21","52"
Луганская Народная Республика,Белгородская область,"94","31"
Луганская Народная Республика,Воронежская область,"94","36"
Республика Саха (Якутия),Хабаровский край,"14","27"
Республика Саха (Якутия),Магаданская область,"14","49"
Республика Саха (Якутия),Чукотский автономный округ,"14","87"
Республика Крым,Херсонская область,"91","95"
Донецкая Народная Республика,Луганская Народная Республика,"93","94"
Донецкая Народная Республика,Запорожская область,"93","90"
Луганская Народная Республика,Донецкая Народная Республика,"94","93"
Республика Тыва,Республика Алтай,"17","04"
Республика Тыва,Республика Хакасия,"17","19"
Республика Тыва,Красноярский край,"17","24"
Республика Тыва,Иркутская область,"17","38"
Республика Тыва,Республика Бурятия,"17","03"
Республика Коми,Ханты-Мансийский автономный округ - Югра,"11","86"
Республика Коми,Ямало-Ненецкий автономный округ,"11","89"
Республика Алтай,Алтайский край,"04","22"
Республика Алтай,Кемеровская область - Кузбасс,"04","42"
Республика Алтай,Республика Хакасия,"04","19"
Республика Хакасия,Республика Алтай,"19","04"
Республика Хакасия,Кемеровская область - Кузбасс,"19","42"
Республика Хакасия,Красноярский край,"19","24"
Республика Саха (Якутия),Красноярский край,"14","24"
Республика Саха (Якутия),Иркутская область,"14","38"
Республика Саха (Якутия),Забайкальский край,"14","75"
Республика Саха (Якутия),Амурская область,"14","28"
Республика Бурятия,Иркутская область,"03","38"
Республика Бурятия,Забайкальский край,"03","75"
Республика Адыгея (Адыгея),Краснодарский край,"01","23"
Республика Калмыкия,Ростовская область,"08","61"
Республика Калмыкия,Волгоградская область,"08","34"
Республика Калмыкия,Астраханская область,"08","30"
Республика Калмыкия,Республика Дагестан,"08","05"
Республика Калмыкия,Ставропольский край,"08","26"
Республика Дагестан,Республика Калмыкия,"05","08"
Республика Дагестан,Чеченская Республика,"05","20"
Республика Дагестан,Ставропольский край,"05","26"
Чеченская Республика,Республика Дагестан,"20","05"
Чеченская Республика,Ставропольский край,"20","26"
Чеченская Республика,Республика Ингушетия,"20","06"
Чеченская Республика,Республика Северная Осетия - Алания,"20","15"
Республика Ингушетия,Чеченская Республика,"06","20"
Республика Ингушетия,Республика Северная Осетия - Алания,"06","15"
Республика Северная Осетия - Алания,Чеченская Республика,"15","20"
Республика Северная Осетия - Алания,Ставропольский край,"15","26"
Республика Северная Осетия - Алания,Республика Ингушетия,"15","06"
Республика Северная Осетия - Алания,Кабардино-Балкарская Республика,"15","07"
Кабардино-Балкарская Республика,Ставропольский край,"07","26"
Кабардино-Балкарская Республика,Республика Северная Осетия - Алания,"07","15"
Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,"07","09"
Карачаево-Черкесская Республика,Краснодарский край,"09","23"
Карачаево-Черкесская Республика,Ставропольский край,"09","26"
Карачаево-Черкесская Республика,Кабардино-Балкарская Республика,"09","07"
Чувашская Республика - Чувашия,Республика Мордовия,"21","13"
Республика Татарстан (Татарстан),Оренбургская область,"16","56"
Республика Башкортостан,Оренбургская область,"02","56"
Республика Крым,Краснодарский край,"91","23"
Донецкая Народная Республика,Ростовская область,"93","61"
Луганская Народная Республика,Ростовская область,"94","61"
Республика Коми,Кировская область,"11","43"
Республика Коми,Пермский край,"11","59"
Республика Коми,Свердловская область,"11","66"
Республика Коми,Тюменская область,"11","72"
Республика Мордовия,Чувашская Республика - Чувашия,"13","21"
Республика Мордовия,Пензенская область,"13","58"
Республика Мордовия,Ульяновская область,"13","73"
Удмуртская Республика,Кировская область,"18","43"
Удмуртская Республика,Пермский край,"18","59"
Удмуртская Республика,Республика Татарстан (Татарстан),"18","16"
Удмуртская Республика,Республика Башкортостан,"18","02"
Республика Марий Эл,Кировская область,"12","43"
Республика Марий Эл,Чувашская Республика - Чувашия,"12","21"
Республика Марий Эл,Республика Татарстан (Татарстан),"12","16"
Чувашская Республика - Чувашия,Республика Марий Эл,"21","12"
Чувашская Республика - Чувашия,Республика Татарстан (Татарстан),"21","16"
Чувашская Республика - Чувашия,Ульяновская область,"21","73"
Республика Татарстан (Татарстан),Кировская область,"16","43"
Республика Татарстан (Татарстан),Удмуртская Республика,"16","18"
Республика Татарстан (Татарстан),Республика Марий Эл,"16","12"
Республика Татарстан (Татарстан),Чувашская Республика - Чувашия,"16","21"
Республика Татарстан (Татарстан),Ульяновская область,"16","73"
Республика Татарстан (Татарстан),Республика Башкортостан,"16","02"
Республика Башкортостан,Пермский край,"02","59"
Республика Башкортостан,Удмуртская Республика,"02","18"
Республика Башкортостан,Свердловская область,"02","66"
Республика Башкортостан,Республика Татарстан (Татарстан),"02","16"
Московская область,Тверская область,"50","69"
Московская область,Смоленская область,"50","67"
Московская область,Ярославская область,"50","76"
Московская область,Владимирская область,"50","33"
Московская область,Рязанская область,"50","62"
Московская область,Тульская область,"50","71"
Московская область,Калужская область,"50","40"
Вологодская область,Тверская область,"35","69"
Вологодская область,Ярославская область,"35","76"
Вологодская область,Костромская область,"35","44"
Псковская область,Тверская область,"60","69"
Псковская область,Смоленская область,"60","67"
Новгородская область,Тверская область,"53","69"
Нижегородская область,Костромская область,"52","44"
Нижегородская область,Ивановская область,"52","37"
Нижегородская область,Владимирская область,"52","33"
Нижегородская область,Рязанская область,"52","62"
Тверская область,Смоленская область,"69","67"
Тверская область,Ярославская область,"69","76"
Смоленская область,Тверская область,"67","69"
Смоленская область,Брянская область,"67","32"
Смоленская область,Калужская область,"67","40"
Ярославская область,Тверская область,"76","69"
Ярославская область,Костромская область,"76","44"
Ярославская область,Ивановская область,"76","37"
Ярославская область,Владимирская область,"76","33"
Костромская область,Нижегородская область,"44","52"
Костромская область,Ярославская область,"44","76"
Костромская область,Ивановская область,"44","37"
Ивановская область,Нижегородская область,"37","52"
Ивановская область,Ярославская область,"37","76"
Ивановская область,Костромская область,"37","44"
Ивановская область,Владимирская область,"37","33"
Владимирская область,Нижегородская область,"33","52"
Владимирская область,Ярославская область,"33","76"
Владимирская область,Ивановская область,"33","37"
Владимирская область,Рязанская область,"33","62"
Рязанская область,Нижегородская область,"62","52"
Рязанская область,Владимирская область,"62","33"
Рязанская область,Тульская область,"62","71"
Рязанская область,Липецкая область,"62","48"
Тульская область,Рязанская область,"71","62"
Тульская область,Калужская область,"71","40"
Тульская область,Орловская область,"71","57"
Тульская область,Липецкая область,"71","48"
Брянская область,Смоленская область,"32","67"
Брянская область,Калужская область,"32","40"
Брянская область,Орловская область,"32","57"
Брянская область,Курская область,"32","46"
Калужская область,Смоленская область,"40","67"
Калужская область,Тульская область,"40","71"
Калужская область,Брянская область,"40","32"
Калужская область,Орловская область,"40","57"
Орловская область,Тульская область,"57","71"
Орловская область,Брянская область,"57","32"
Орловская область,Калужская область,"57","40"
Орловская область,Курская область,"57","46"
Орловская область,Липецкая область,"57","48"
Курская область,Брянская область,"46","32"
Курская область,Орловская область,"46","57"
Курская область,Белгородская область,"46","31"
Курская область,Воронежская область,"46","36"
Курская область,Липецкая область,"46","48"
Белгородская область,Курская область,"31","46"
Белгородская область,Воронежская область,"31","36"
Воронежская область,Курская область,"36","46"
Воронежская область,Белгородская область,"36","31"
Липецкая область,Рязанская область,"48","62"
Липецкая область,Тульская область,"48","71"
Липецкая область,Орловская область,"48","57"
Липецкая область,Курская область,"48","46"
Липецкая область,Воронежская область,"48","36"
Тамбовская область,Рязанская область,"68","62"
Тамбовская область,Воронежская область,"68","36"
Ростовская область,Воронежская область,"61","36"
Волгоградская область,Воронежская область,"34","36"
Саратовская область,Воронежская область,"64","36"
Кировская область,Нижегородская область,"43","52"
Кировская область,Костромская область,"43","44"
Пензенская область,Рязанская область,"58","62"
Свердловская область,Ханты-Мансийский автономный округ - Югра,"66","86"
Тюменская область,Омская область,"72","55"
Тюменская область,Томская область,"72","70"
Тюменская область,Ханты-Мансийский автономный округ - Югра,"72","86"
Тюменская область,Красноярский край,"72","24"
Омская область,Тюменская область,"55","72"
Омская область,Новосибирская область,"55","54"
Омская область,Томская область,"55","70"
Новосибирская область,Омская область,"54","55"
Новосибирская область,Томская область,"54","70"
Новосибирская область,Алтайский край,"54","22"
Новосибирская область,Кемеровская область - Кузбасс,"54","42"
Томская область,Тюменская область,"70","72"
Томская область,Омская область,"70","55"
Томская область,Новосибирская область,"70","54"
Томская область,Кемеровская область - Кузбасс,"70","42"
Томская область,Ханты-Мансийский автономный округ - Югра,"70","86"
Томская область,Красноярский край,"70","24"
Кемеровская область - Кузбасс,Новосибирская область,"42","54"
Кемеровская область - Кузбасс,Томская область,"42","70"
Кемеровская область - Кузбасс,Алтайский край,"42","22"
Кемеровская область - Кузбасс,Республика Алтай,"42","04"
Кемеровская область - Кузбасс,Республика Хакасия,"42","19"
Кемеровская область - Кузбасс,Красноярский край,"42","24"
Иркутская область,Красноярский край,"38","24"
Иркутская область,Республика Саха (Якутия),"38","14"
Иркутская область,Республика Бурятия,"38","03"
Иркутская область,Забайкальский край,"38","75"
Амурская область,Республика Саха (Якутия),"28","14"
Амурская область,Забайкальский край,"28","75"
Амурская область,Еврейская автономная область,"28","79"
Магаданская область,Республика Саха (Якутия),"49","14"
Саратовская область,Пензенская область,"64","58"
Саратовская область,Ульяновская область,"64","73"
Оренбургская область,Республика Татарстан (Татарстан),"56","16"
Оренбургская область,Республика Башкортостан,"56","02"
Оренбургская область,Челябинская область,"56","74"
Кировская область,Пермский край,"43","59"
Кировская область,Удмуртская Республика,"43","18"
Кировская область,Республика Марий Эл,"43","12"
Кировская область,Республика Татарстан (Татарстан),"43","16"
Свердловская область,Пермский край,"66","59"
Свердловская область,Республика Башкортостан,"66","02"
Свердловская область,Челябинская область,"66","74"
Свердловская область,Курганская область,"66","45"
Свердловская область,Тюменская область,"66","72"
Пензенская область,Республика Мордовия,"58","13"
Пензенская область,Ульяновская область,"58","73"
Ульяновская область,Республика Мордовия,"73","13"
Ульяновская область,Чувашская Республика - Чувашия,"73","21"
Ульяновская область,Республика Татарстан (Татарстан),"73","16"
Ульяновская область,Пензенская область,"73","58"
Челябинская область,Свердловская область,"74","66"
Челябинская область,Республика Башкортостан,"74","02"
Челябинская область,Курганская область,"74","45"
Курганская область,Свердловская область,"45","66"
Курганская область,Челябинская область,"45","74"
Курганская область,Тюменская область,"45","72"
Тюменская область,Свердловская область,"72","66"
Тюменская область,Курганская область,"72","45"
Московская область,г. Москва,"50","77"
Мурманская область,Архангельская область,"51","29"
Мурманская область,Республика Карелия,"51","10"
Архангельская область,Мурманская область,"29","51"
Архангельская область,Республика Карелия,"29","10"
Архангельская область,Вологодская область,"29","35"
Архангельская область,Республика Коми,"29","11"
Архангельская область,Ненецкий автономный округ,"29","83"
Вологодская область,Архангельская область,"35","29"
Вологодская область,Республика Карелия,"35","10"
Вологодская область,Ленинградская область,"35","47"
Вологодская область,Новгородская область,"35","53"
Ленинградская область,г. Санкт-Петербург,"47","78"
Ленинградская область,Республика Карелия,"47","10"
Ленинградская область,Вологодская область,"47","35"
Ленинградская область,Псковская область,"47","60"
Ленинградская область,Новгородская область,"47","53"
Псковская область,Ленинградская область,"60","47"
Псковская область,Новгородская область,"60","53"
Новгородская область,Вологодская область,"53","35"
Новгородская область,Ленинградская область,"53","47"
Новгородская область,Псковская область,"53","60"
Тверская область,Московская область,"69","50"
Тверская область,Вологодская область,"69","35"
Тверская область,Псковская область,"69","60"
Тверская область,Новгородская область,"69","53"
Смоленская область,Московская область,"67","50"
Смоленская область,Псковская область,"67","60"
Ярославская область,Московская область,"76","50"
Ярославская область,Вологодская область,"76","35"
Костромская область,Вологодская область,"44","35"
Владимирская область,Московская область,"33","50"
Рязанская область,Московская область,"62","50"
Тульская область,Московская область,"71","50"
Калужская область,г. Москва,"40","77"
Калужская область,Московская область,"40","50"
Воронежская область,Самарская область,"36","63"
Саратовская область,Самарская область,"64","63"
Оренбургская область,Самарская область,"56","63"
Кировская область,Архангельская область,"43","29"
Кировская область,Вологодская область,"43","35"
Кировская область,Республика Коми,"43","11"
Свердловская область,Республика Коми,"66","11"
Ульяновская область,Самарская область,"73","63"
Тюменская область,Республика Коми,"72","11"
Тюменская область,Ненецкий автономный округ,"72","83"
Иркутская область,Республика Тыва,"38","17"
Самарская область,Саратовская область,"63","64"
Самарская область,Оренбургская область,"63","56"
Нижегородская область,Республика Мордовия,"52","13"
Рязанская область,Тамбовская область,"62","68"
Рязанская область,Республика Мордовия,"62","13"
Воронежская область,Липецкая область,"36","48"
Воронежская область,Тамбовская область,"36","68"
Воронежская область,Ростовская область,"36","61"
Воронежская область,Волгоградская область,"36","34"
Воронежская область,Саратовская область,"36","64"
Липецкая область,Тамбовская область,"48","68"
Тамбовская область,Липецкая область,"68","48"
Тамбовская область,Саратовская область,"68","64"
Ростовская область,Краснодарский край,"61","23"
Ростовская область,Волгоградская область,"61","34"
Ростовская область,Республика Калмыкия,"61","08"
Ростовская область,Ставропольский край,"61","26"
Волгоградская область,Ростовская область,"34","61"
Волгоградская область,Астраханская область,"34","30"
Волгоградская область,Республика Калмыкия,"34","08"
Волгоградская область,Саратовская область,"34","64"
Астраханская область,Волгоградская область,"30","34"
Астраханская область,Республика Калмыкия,"30","08"
Саратовская область,Тамбовская область,"64","68"
Саратовская область,Волгоградская область,"64","34"
Саратовская область,Оренбургская область,"64","56"
Оренбургская область,Саратовская область,"56","64"
Пензенская область,Тамбовская область,"58","68"
Пензенская область,Саратовская область,"58","64"
Ульяновская область,Саратовская область,"73","64"
